JD	Magnitude	Uncertainty	Band	Observer Code
2461084.5292	3.8		Vis.	EMAC
2461086.333	4.2		Vis.	WBOA
2461086.3514	4.3		Vis.	AVAD
2461087.5125	3.1		Vis.	SSHA
2461088.220962	3.497	0.0075	TG	SIVB
2461088.221472	3.461	0.0073	TG	SIVB
2461088.230203	3.792	0.009	TG	SIVB
2461088.230713	3.748	0.0088	TG	SIVB
2461088.7111	3.4		Vis.	SPAO
2461090.25	4.0		Vis.	WBOA
2461090.2559	3.980	0.011	V	VOL
2461092.7063	3.4		Vis.	SPAO
2461094.7069	3.71		Vis.	DPV
2461097.2661	4.063	0.008	V	VOL
2461097.333	3.4		Vis.	WBOA
2461097.333	3.8		Vis.	WBOA
2461097.52083	3.9		Vis.	SSHA
2461098.6347	3.439	0.016	V	VOL
2461100.246801	3.687	0.071	TG	SIVB
2461100.247311	3.666	0.071	TG	SIVB
2461103.33472	3.4		Vis.	REE
2461104.333	3.4		Vis.	WBOA
2461105.333	3.8		Vis.	WBOA
2461105.3464	3.749	0.029	V	VOL
2461108.2708	3.8		Vis.	WBOA
2461108.54097	3.55		Vis.	SSHA
2461109.52	3.5		Vis.	MQA
2461109.6796	3.492	0.014	V	VOL
2461110.451	3.5		Vis.	MQA
2461111.5	3.6		Vis.	MQA
2461112.54583	3.7		Vis.	SSHA
2461113.6564	3.986	0.011	V	VOL
2461113.6584	3.949	0.015	V	VOL
2461114.493	3.6		Vis.	MQA
2461115.493	3.6		Vis.	MQA
2461116.3167	3.8		Vis.	SPAO
2461116.378	4.0		Vis.	WBOA
2461118.35069	4.3		Vis.	REE
2461119.583	3.5		Vis.	MQA
2461121.378	4.0		Vis.	WBOA
2461122.5	3.9		Vis.	MQA
2461123.2944	3.8		Vis.	SPAO
2461123.378	4.2		Vis.	WBOA
2461128.333	4.2		Vis.	WBOA
2461129.2792	3.9		Vis.	SPAO
2461132.333	3.8		Vis.	WBOA
2461135.548	3.5		Vis.	MQA
2461136.381	3.6		Vis.	MQA
2461137.333	3.7		Vis.	WBOA
2461138.333	4.0		Vis.	WBOA
2461138.388	3.8		Vis.	MQA
2461140.444	4.0		Vis.	MQA
2461141.333	3.4		Vis.	WBOA
2461141.416	3.5		Vis.	MQA
2461142.388	3.7		Vis.	MQA
2461143.479	3.9		Vis.	MQA
2461145.333	4.0		Vis.	WBOA
2461145.6479	3.77		Vis.	DPV
2461146.416	3.5		Vis.	MQA
2461146.6826	3.55		Vis.	DPV
2461147.437	3.6		Vis.	MQA
2461148.395	4.0		Vis.	MQA
